source,paragraph
Conan Doyle,"thought of the Indian superstition of the Curupuri--the dreadful,"
Conan Doyle,"nothing more than the marks of the owner.  Helpless, torpid, and"
Conan Doyle,"recent.  What do you say to that?"""
Christie,"simple, but the masked men, and the letter you received from M. Renauld"
Conan Doyle,who put it down to the cerebral excitement caused by my fever.  Again
Conan Doyle,"in company with a good fat goose, which is, I have no doubt, roasting"
Christie,"“She had been wheeled on a sofa into the middle room—her boudoir,” he"
Conan Doyle,"If my hair would only change colour, here’s a nice little crib all"
Christie,"union was legal, though morganatic. But all stories agreed upon one"
Conan Doyle,were scattered about upon the grassy slope in front of the caves
Christie,I can’t make that woman out. Her whole attitude towards Race has
Conan Doyle,"he, ""and yet I cannot doubt that the intellect can solve it.  I am"
Christie,money. I liked the idea of going to Rhodesia immensely. “Stern
Christie,"it would be wise to get rid of Pagett, but the fellow was so"
Conan Doyle,"suppose, now, when you went into that room there was no such notion in"
Christie,you. Go on working on this line of yours. If you get
Conan Doyle,"“It saved me from ennui,” he answered, yawning. “Alas! I already feel"
Christie,"“Well, Giraud will sing small now,” I observed hastily, to lead the"
Conan Doyle,secret opening is half a mile onwards upon the other side of the river.
Christie,"Then I saw something that made me catch my breath, a small scarlet"
Christie,“What?” It was a cry. “Jack? Impossible. Who dares to suspect him?”
Christie,"eyes narrowed themselves still more, the long line of her scarlet"
Conan Doyle,"“Peculiar—that is the very word,” said Holmes. “It is not an English"
Christie,He rose briskly to his feet.
Christie,It is really a very hard life. Men will not be nice to you if you
Christie,"But the girl’s face was troubled, and Jack Renauld seemed to recognize"
Christie,"“That’s so. Au revoir, then.”"
Christie,"the murder of Nadina home to me. I was in Marlow on that day,"
Conan Doyle,"“Now, Mr. Holder,” said Holmes, “here is the corner which corresponds"
Conan Doyle,"""Hush!"" he cried.  ""Surely I hear something?"""
Conan Doyle,"however, and I clapped a pistol to his head before he could strike."
Conan Doyle,"There was little difficulty in entering the grounds, for unrepaired"
Christie,“How long was he in the house?”
Christie,"point, that Jeanne Beroldy was the centre of an interesting mystery."
Christie,"had been, that—well, I was a coward, and went on hoping the thing would"
Conan Doyle,“‘Dear me! How very impertinent! Kindly turn round and motion to him to
Conan Doyle,"opened the door, or we should have gone through it.  We did a"
Conan Doyle,"to the company once more, subsided into a doddering, loose-lipped"
Christie,"“_Voilà,___” grumbled Françoise. “That is all you get for telling the"
Christie,"“No, I shall await their return in the _salon___. It is cool there on"
Christie,"Threats and entreaties would not move her. A remarkable woman that,"
Conan Doyle,"""It is an open admission,"" he cried.  ""What more do you want?  The"
Conan Doyle,we might know what we had to rely upon.  What with the things we had
Conan Doyle,"James McCarthy, going the same way with a gun under his arm. To the"
Conan Doyle,qualifications. I understand that it was on a professional matter that
Christie,Grünberg at Marlow—and that certainly lends colour to the
Conan Doyle,in the second largest private banking concern in the City of London.
Christie,“There is such a thing as the individual touch.” Poirot suddenly
Conan Doyle,"despair in his weary eyes, as though his question was already answered."
Conan Doyle,"was returning, my work accomplished, when I had occasion to spend a"
Christie,Giraud did not reply. The question found him unprepared. He shrugged
Conan Doyle,floor.” He threw himself down upon his face with his lens in his hand
Conan Doyle,"them there by reason of the fall of their bridge, the Professor"
Conan Doyle,"less interest, of which I retain the records. Among my headings under"
Conan Doyle,"monomaniac. With a stout bearing, therefore, though her manner had"
Christie,"summers in France. And ill fortune, that obscure justice which shapes"
Conan Doyle,instructions to apply the interest to the providing of easy berths to
Conan Doyle,"either an innocent man, or else as a man of considerable self-restraint"
Conan Doyle,need not interfere very much with one’s other occupations.’
Conan Doyle,we do not hear from her before many days are past.”
Conan Doyle,"savage mouth, which was held half-open, was full of a double row of"
Christie,you can only get this kind in Paris.” She sighed. “Paris!”
Christie,to him at lunch-time when you go down.”
Christie,“Aren’t you and your friend the big bugs?”
Christie,  THE MURDER ON THE LINKS
Christie,"thirty, and a round, tubby little man. He was not at all like the"
Conan Doyle,"when we became aware of a strange low gabbling and whistling sound,"
Christie,think of. I can’t go about with a secretary who has apparently
Christie,“Would it not be better to take M. Renauld to the shed?” suggested
Conan Doyle,which all this points. The culprit is—”
Christie,"the one to send him to the Guillotine? She had been guilty of much, but"
Conan Doyle,"as if to make sure what the exact extent of the danger might be.  Then,"
Conan Doyle,"adding that he had been to the window not long before, and that the"
Christie,"It was the other, graver charge that paralyzed all our activities."
Christie,Rayburn’s face seemed to come to me out of the mist. Almost I
Conan Doyle,"touched upon the Indians, and upon the extraordinary colony of"
Conan Doyle,furiously upon the cause of his troubles.
Christie,"“The stab in the back, yes—but not the grave! That was laborious work,"
Conan Doyle,was still active--but lest they should breed a pestilence.  The great
Christie,swore to myself that she was one of the most beautiful girls I had ever
Conan Doyle,"Professor Challenger, who with the two local Indians was in the van of"
Conan Doyle,This looks like one of those unwelcome social summonses which call upon
Christie,"dressing-room next door. I was nearly fainting with terror,"
Christie,uttering loud Ow Ows?”
Christie,"“As I was saying, I came back to the hotel and made some inquiries"
Conan Doyle,"sight, Mr. Holmes. My overstrung nerves failed me suddenly, and I"
Christie,"passed his hand lightly over the backs of the leather chairs, picked up"
Christie,"here, and he spoke the French very badly.”"
Conan Doyle,he could possibly have concealed the gems; but no trace of them could
Conan Doyle,"""It is no doubt a curious formation,"" said I ""but I am not geologist"
Christie,He turned a stern face on me.
Christie,“That is the explanation of Giraud. It does not satisfy me. There is a
Conan Doyle,"from the shadows--this nameless and horrible monster.  I stopped, and,"
Conan Doyle,and in silence for some few minutes until we had turned down one of the
Conan Doyle,"You've blackened this young man's eye.  Do you give him in charge, sir?"""
Christie,"what I had overheard at the house at Muizenberg, I was beginning"
Conan Doyle,"""It was a stork, if ever I saw one."""
Conan Doyle,burrowing. The only remaining point was what they were burrowing for. I
Conan Doyle,"standing at the door and walked slowly all round the house, across the"
Christie,"feeling that, so far, Poirot had not greatly distinguished himself, and"
Christie,"“That would be very tame,” I objected scornfully."
Conan Doyle,lurking spirit of the woods--and I could have imagined that his
Christie,"undoubtedly was. Without hesitation, she dropped her previous defence,"
Conan Doyle,"there was no harm done, it made me mad, and I just on with my things"
Conan Doyle,"obtained an advance from a relative, which enabled him to take a"
Christie,I had brought with me a pencil and notebook. There did not seem
Conan Doyle,dead of the night?’
Conan Doyle,him as he leaned back in a basket-chair.
Conan Doyle,"""We have thought of that.  There are no creepers here which could bear"
Christie,“He seemed completely taken aback. Then he ordered me peremptorily to
Christie,“Isn’t it yours?” I demanded sweetly. “Or do you prefer to be
Christie,"“He’s behaving so damned queerly,” muttered Stonor. “Of course I"
Christie,"“Infamous, is it? What about this?” Stooping, he again detached the"
Christie,"Africa to show the world? What indeed? Her fruit and her farms,"
Conan Doyle,"never cared to walk on the Thames Embankment and look up the river, as"
